AudioContext,AudioSentence,Item,Condition,Group,Type
contexto1.wav,Exp1-CONDA.wav,1,ChinComIntro,A,Experimental
contexto2.wav,Exp2-CONDB.wav,2,ChinSemIntro,A,Experimental
contexto3.wav,Exp3-CONDC.wav,3,Top,A,Experimental
contexto4.wav,Exp4-CONDA.wav,4,ChinComIntro,A,Experimental
contexto5.wav,Exp5-CONDB.wav,5,ChinSemIntro,A,Experimental
contexto6.wav,Exp6-CONDC.wav,6,Top,A,Experimental
contexto7.wav,Exp7-CONDA.wav,7,ChinComIntro,A,Experimental
contexto8.wav,Exp8-CONDB.wav,8,ChinSemIntro,A,Experimental
contexto9.wav,Exp9-CONDC.wav,9,Top,A,Experimental
contexto10.wav,Exp10-CONDA.wav,10,ChinComIntro,A,Experimental
contexto11.wav,Exp11-CONDB.wav,11,ChinSemIntro,A,Experimental
contexto12.wav,Exp12-CONDC.wav,12,Top,A,Experimental
contexto13.wav,Exp13-CONDA.wav,13,ChinComIntro,A,Experimental
contexto14.wav,Exp14-CONDB.wav,14,ChinSemIntro,A,Experimental
contexto15.wav,Exp15-CONDC.wav,15,Top,A,Experimental
contexto16.wav,Exp16-CONDA.wav,16,ChinComIntro,A,Experimental
contexto17.wav,Exp17-CONDB.wav,17,ChinSemIntro,A,Experimental
contexto18.wav,Exp18-CONDC.wav,18,Top,A,Experimental
contexto19.wav,Exp19-CONDA.wav,19,ChinComIntro,A,Experimental
contexto20.wav,Exp20-CONDB.wav,20,ChinSemIntro,A,Experimental
contexto21.wav,Exp21-CONDC.wav,21,Top,A,Experimental
contexto22.wav,Exp22-CONDA.wav,22,ChinComIntro,A,Experimental
contexto23.wav,Exp23-CONDB.wav,23,ChinSemIntro,A,Experimental
contexto24.wav,Exp24-CONDC.wav,24,Top,A,Experimental
ContDIST2.wav,DIST2.wav,26,DIST2,A,Filler
ContDIST3.wav,DIST3.wav,27,DIST3,A,Filler
ContDIST4.wav,DIST4.wav,28,DIST4,A,Filler
ContDIST5.wav,DIST5.wav,29,DIST5,A,Filler
ContDIST6.wav,DIST6.wav,30,DIST6,A,Filler
ContDIST7.wav,DIST7.wav,31,DIST7,A,Filler
ContDIST8.wav,DIST8.wav,32,DIST8,A,Filler
ContDIST9.wav,DIST9.wav,33,DIST9,A,Filler
ContDIST10.wav,DIST10.wav,34,DIST10,A,Filler
ContDIST11.wav,DIST11.wav,35,DIST11,A,Filler
ContDIST12.wav,DIST12.wav,36,DIST12,A,Filler
ContDIST13.wav,DIST13.wav,37,DIST13,A,Filler
ContDIST14.wav,DIST14.wav,38,DIST14,A,Filler
ContDIST15.wav,DIST15.wav,39,DIST15,A,Filler
ContDIST16.wav,DIST16.wav,40,DIST16,A,Filler
ContDIST17.wav,DIST17.wav,41,DIST17,A,Filler
ContDIST18.wav,DIST18.wav,42,DIST18,A,Filler
ContDIST19.wav,DIST19.wav,43,DIST19,A,Filler
ContDIST20.wav,DIST20.wav,44,DIST20,A,Filler
ContDIST21.wav,DIST21.wav,45,DIST21,A,Filler
ContDIST22.wav,DIST22.wav,46,DIST22,A,Filler
ContDIST23.wav,DIST23.wav,47,DIST23,A,Filler
ContDIST24.wav,DIST24.wav,48,DIST24,A,Filler
ContDIST25.wav,DIST25.wav,49,DIST25,A,Filler
ContDIST26.wav,DIST26.wav,50,DIST26,A,Filler
ContDIST27.wav,DIST27.wav,51,DIST27,A,Filler
ContDIST28.wav,DIST28.wav,52,DIST28,A,Filler
ContDIST29.wav,DIST29.wav,53,DIST29,A,Filler
ContDIST31.wav,DIST31.wav,55,DIST31,A,Filler
ContDIST32.wav,DIST32.wav,56,DIST32,A,Filler
ContDIST33.wav,DIST33.wav,57,DIST33,A,Filler
ContDIST34.wav,DIST34.wav,58,DIST34,A,Filler
ContDIST35.wav,DIST35.wav,59,DIST35,A,Filler
ContDIST36.wav,DIST36.wav,60,DIST36,A,Filler
ContDIST37.wav,DIST37.wav,61,DIST37,A,Filler
ContDIST38.wav,DIST38.wav,62,DIST38,A,Filler
ContDIST39.wav,DIST39.wav,63,DIST39,A,Filler
ContDIST41.wav,DIST41.wav,65,DIST41,A,Filler
ContDIST42.wav,DIST42.wav,66,DIST42,A,Filler
ContDIST43.wav,DIST43.wav,67,DIST43,A,Filler
ContDIST44.wav,DIST44.wav,68,DIST44,A,Filler
ContDIST45.wav,DIST45.wav,69,DIST45,A,Filler
ContDIST46.wav,DIST46.wav,70,DIST46,A,Filler
ContDIST47.wav,DIST47.wav,71,DIST47,A,Filler
ContDIST48.wav,DIST48.wav,72,DIST48,A,Filler
contexto1.wav,Exp1-CONDB.wav,1,ChinSemIntro,B,Experimental
contexto2.wav,Exp2-CONDC.wav,2,Top,B,Experimental
contexto3.wav,Exp3-CONDA.wav,3,ChinComIntro,B,Experimental
contexto4.wav,Exp4-CONDB.wav,4,ChinSemIntro,B,Experimental
contexto5.wav,Exp5-CONDC.wav,5,Top,B,Experimental
contexto6.wav,Exp6-CONDA.wav,6,ChinComIntro,B,Experimental
contexto7.wav,Exp7-CONDB.wav,7,ChinSemIntro,B,Experimental
contexto8.wav,Exp8-CONDC.wav,8,Top,B,Experimental
contexto9.wav,Exp9-CONDA.wav,9,ChinComIntro,B,Experimental
contexto10.wav,Exp10-CONDB.wav,10,ChinSemIntro,B,Experimental
contexto11.wav,Exp11-CONDC.wav,11,Top,B,Experimental
contexto12.wav,Exp12-CONDA.wav,12,ChinComIntro,B,Experimental
contexto13.wav,Exp13-CONDB.wav,13,ChinSemIntro,B,Experimental
contexto14.wav,Exp14-CONDC.wav,14,Top,B,Experimental
contexto15.wav,Exp15-CONDA.wav,15,ChinComIntro,B,Experimental
contexto16.wav,Exp16-CONDB.wav,16,ChinSemIntro,B,Experimental
contexto17.wav,Exp17-CONDC.wav,17,Top,B,Experimental
contexto18.wav,Exp18-CONDA.wav,18,ChinComIntro,B,Experimental
contexto19.wav,Exp19-CONDB.wav,19,ChinSemIntro,B,Experimental
contexto20.wav,Exp20-CONDC.wav,20,Top,B,Experimental
contexto21.wav,Exp21-CONDA.wav,21,ChinComIntro,B,Experimental
contexto22.wav,Exp22-CONDB.wav,22,ChinSemIntro,B,Experimental
contexto23.wav,Exp23-CONDC.wav,23,Top,B,Experimental
contexto24.wav,Exp24-CONDA.wav,24,ChinComIntro,B,Experimental
ContDIST2.wav,DIST2.wav,26,DIST2,B,Filler
ContDIST3.wav,DIST3.wav,27,DIST3,B,Filler
ContDIST4.wav,DIST4.wav,28,DIST4,B,Filler
ContDIST5.wav,DIST5.wav,29,DIST5,B,Filler
ContDIST6.wav,DIST6.wav,30,DIST6,B,Filler
ContDIST7.wav,DIST7.wav,31,DIST7,B,Filler
ContDIST8.wav,DIST8.wav,32,DIST8,B,Filler
ContDIST9.wav,DIST9.wav,33,DIST9,B,Filler
ContDIST10.wav,DIST10.wav,34,DIST10,B,Filler
ContDIST11.wav,DIST11.wav,35,DIST11,B,Filler
ContDIST12.wav,DIST12.wav,36,DIST12,B,Filler
ContDIST13.wav,DIST13.wav,37,DIST13,B,Filler
ContDIST14.wav,DIST14.wav,38,DIST14,B,Filler
ContDIST15.wav,DIST15.wav,39,DIST15,B,Filler
ContDIST16.wav,DIST16.wav,40,DIST16,B,Filler
ContDIST17.wav,DIST17.wav,41,DIST17,B,Filler
ContDIST18.wav,DIST18.wav,42,DIST18,B,Filler
ContDIST19.wav,DIST19.wav,43,DIST19,B,Filler
ContDIST20.wav,DIST20.wav,44,DIST20,B,Filler
ContDIST21.wav,DIST21.wav,45,DIST21,B,Filler
ContDIST22.wav,DIST22.wav,46,DIST22,B,Filler
ContDIST23.wav,DIST23.wav,47,DIST23,B,Filler
ContDIST24.wav,DIST24.wav,48,DIST24,B,Filler
ContDIST25.wav,DIST25.wav,49,DIST25,B,Filler
ContDIST26.wav,DIST26.wav,50,DIST26,B,Filler
ContDIST27.wav,DIST27.wav,51,DIST27,B,Filler
ContDIST28.wav,DIST28.wav,52,DIST28,B,Filler
ContDIST29.wav,DIST29.wav,53,DIST29,B,Filler
ContDIST31.wav,DIST31.wav,55,DIST31,B,Filler
ContDIST32.wav,DIST32.wav,56,DIST32,B,Filler
ContDIST33.wav,DIST33.wav,57,DIST33,B,Filler
ContDIST34.wav,DIST34.wav,58,DIST34,B,Filler
ContDIST35.wav,DIST35.wav,59,DIST35,B,Filler
ContDIST36.wav,DIST36.wav,60,DIST36,B,Filler
ContDIST37.wav,DIST37.wav,61,DIST37,B,Filler
ContDIST38.wav,DIST38.wav,62,DIST38,B,Filler
ContDIST39.wav,DIST39.wav,63,DIST39,B,Filler
ContDIST41.wav,DIST41.wav,65,DIST41,B,Filler
ContDIST42.wav,DIST42.wav,66,DIST42,B,Filler
ContDIST43.wav,DIST43.wav,67,DIST43,B,Filler
ContDIST44.wav,DIST44.wav,68,DIST44,B,Filler
ContDIST45.wav,DIST45.wav,69,DIST45,B,Filler
ContDIST46.wav,DIST46.wav,70,DIST46,B,Filler
ContDIST47.wav,DIST47.wav,71,DIST47,B,Filler
ContDIST48.wav,DIST48.wav,72,DIST48,B,Filler
contexto1.wav,Exp1-CONDC.wav,1,Top,C,Experimental
contexto2.wav,Exp2-CONDA.wav,2,ChinComIntro,C,Experimental
contexto3.wav,Exp3-CONDB.wav,3,ChinSemIntro,C,Experimental
contexto4.wav,Exp4-CONDC.wav,4,Top,C,Experimental
contexto5.wav,Exp5-CONDA.wav,5,ChinComIntro,C,Experimental
contexto6.wav,Exp6-CONDB.wav,6,ChinSemIntro,C,Experimental
contexto7.wav,Exp7-CONDC.wav,7,Top,C,Experimental
contexto8.wav,Exp8-CONDA.wav,8,ChinComIntro,C,Experimental
contexto9.wav,Exp9-CONDB.wav,9,ChinSemIntro,C,Experimental
contexto10.wav,Exp10-CONDC.wav,10,Top,C,Experimental
contexto11.wav,Exp11-CONDA.wav,11,ChinComIntro,C,Experimental
contexto12.wav,Exp12-CONDB.wav,12,ChinSemIntro,C,Experimental
contexto13.wav,Exp13-CONDC.wav,13,Top,C,Experimental
contexto14.wav,Exp14-CONDA.wav,14,ChinComIntro,C,Experimental
contexto15.wav,Exp15-CONDB.wav,15,ChinSemIntro,C,Experimental
contexto16.wav,Exp16-CONDC.wav,16,Top,C,Experimental
contexto17.wav,Exp17-CONDA.wav,17,ChinComIntro,C,Experimental
contexto18.wav,Exp18-CONDB.wav,18,ChinSemIntro,C,Experimental
contexto19.wav,Exp19-CONDC.wav,19,Top,C,Experimental
contexto20.wav,Exp20-CONDA.wav,20,ChinComIntro,C,Experimental
contexto21.wav,Exp21-CONDB.wav,21,ChinSemIntro,C,Experimental
contexto22.wav,Exp22-CONDC.wav,22,Top,C,Experimental
contexto23.wav,Exp23-CONDA.wav,23,ChinComIntro,C,Experimental
contexto24.wav,Exp24-CONDB.wav,24,ChinSemIntro,C,Experimental
ContDIST2.wav,DIST2.wav,26,DIST2,C,Filler
ContDIST3.wav,DIST3.wav,27,DIST3,C,Filler
ContDIST4.wav,DIST4.wav,28,DIST4,C,Filler
ContDIST5.wav,DIST5.wav,29,DIST5,C,Filler
ContDIST6.wav,DIST6.wav,30,DIST6,C,Filler
ContDIST7.wav,DIST7.wav,31,DIST7,C,Filler
ContDIST8.wav,DIST8.wav,32,DIST8,C,Filler
ContDIST9.wav,DIST9.wav,33,DIST9,C,Filler
ContDIST10.wav,DIST10.wav,34,DIST10,C,Filler
ContDIST11.wav,DIST11.wav,35,DIST11,C,Filler
ContDIST12.wav,DIST12.wav,36,DIST12,C,Filler
ContDIST13.wav,DIST13.wav,37,DIST13,C,Filler
ContDIST14.wav,DIST14.wav,38,DIST14,C,Filler
ContDIST15.wav,DIST15.wav,39,DIST15,C,Filler
ContDIST16.wav,DIST16.wav,40,DIST16,C,Filler
ContDIST17.wav,DIST17.wav,41,DIST17,C,Filler
ContDIST18.wav,DIST18.wav,42,DIST18,C,Filler
ContDIST19.wav,DIST19.wav,43,DIST19,C,Filler
ContDIST20.wav,DIST20.wav,44,DIST20,C,Filler
ContDIST21.wav,DIST21.wav,45,DIST21,C,Filler
ContDIST22.wav,DIST22.wav,46,DIST22,C,Filler
ContDIST23.wav,DIST23.wav,47,DIST23,C,Filler
ContDIST24.wav,DIST24.wav,48,DIST24,C,Filler
ContDIST25.wav,DIST25.wav,49,DIST25,C,Filler
ContDIST26.wav,DIST26.wav,50,DIST26,C,Filler
ContDIST27.wav,DIST27.wav,51,DIST27,C,Filler
ContDIST28.wav,DIST28.wav,52,DIST28,C,Filler
ContDIST29.wav,DIST29.wav,53,DIST29,C,Filler
ContDIST31.wav,DIST31.wav,55,DIST31,C,Filler
ContDIST32.wav,DIST32.wav,56,DIST32,C,Filler
ContDIST33.wav,DIST33.wav,57,DIST33,C,Filler
ContDIST34.wav,DIST34.wav,58,DIST34,C,Filler
ContDIST35.wav,DIST35.wav,59,DIST35,C,Filler
ContDIST36.wav,DIST36.wav,60,DIST36,C,Filler
ContDIST37.wav,DIST37.wav,61,DIST37,C,Filler
ContDIST38.wav,DIST38.wav,62,DIST38,C,Filler
ContDIST39.wav,DIST39.wav,63,DIST39,C,Filler
ContDIST41.wav,DIST41.wav,65,DIST41,C,Filler
ContDIST42.wav,DIST42.wav,66,DIST42,C,Filler
ContDIST43.wav,DIST43.wav,67,DIST43,C,Filler
ContDIST44.wav,DIST44.wav,68,DIST44,C,Filler
ContDIST45.wav,DIST45.wav,69,DIST45,C,Filler
ContDIST46.wav,DIST46.wav,70,DIST46,C,Filler
ContDIST47.wav,DIST47.wav,71,DIST47,C,Filler
ContDIST48.wav,DIST48.wav,72,DIST48,C,Filler
